case_id,cluster_-1,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,cluster_50,cluster_51,cluster_52,cluster_53,cluster_54,cluster_55,cluster_56,cluster_57,cluster_58,cluster_59,cluster_60,cluster_61,cluster_62,cluster_63,cluster_64,cluster_65,cluster_66,cluster_67,cluster_68,cluster_69,cluster_70,cluster_71,cluster_72,cluster_73,cluster_74,cluster_75,cluster_76,cluster_77,cluster_78,cluster_79,cluster_80,cluster_81,cluster_82,cluster_83,cluster_84,cluster_85,cluster_86,cluster_87,cluster_88,cluster_89,cluster_90,cluster_91,cluster_92
1,183,0,0,0,1,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,2,3,3,1,13,0,2,1,0,0,5,1,0,0,22,2,34,2,0,0,0,15,0,0,0,0,0,18,0,0,2,3,0,0,16,1,1,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,5,8,0,0,19,2,0,0,0,17,0,1,0,1,17,0,15,1,37,9
2,97,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,13,0,2,2,0,1,0,1,0,3,0,3,0,7,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,4,13,1,0,11,30,15,1
3,26,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,9,2,0,0,0,0,1,0,0,49,81,3,0,0,0,0,0,0,0,0,0,1
4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,3,0,7,100
5,119,0,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,0,4,6,1,2,22,3,0,2,2,0,3,1,1,1,1,2,1,1,183,0,1,7,0,3,0,0,0,12,0,0,7,17,0,0,13,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,43,0,0,239,6,1,0,0,5,0,5,0,25,5,0,9,5,3,0
6,60,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,4,1,0,1,6,0,0,0,0,0,0,2,0,0,0,3,1,5,0,0,6,0,0,0,0,0,3,0,0,8,6,0,0,55,1,4,0,0,0,0,0,0,5,0,1,1,0,0,0,0,1,61,1,0,1,1,11,2,0,1,0,40,42,0,21,0,0,3,0,0,1
7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,2,0,28,0,0,0,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
8,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,27,32,0,1,0,3,0,1,0,0,0,1,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
9,206,0,20,17,12,9,12,12,8,0,0,13,17,7,2,2,0,46,9,0,16,31,1,2,7,3,12,1,3,0,0,8,4,0,3,0,2,0,0,8,0,3,1,5,0,3,0,1,2,9,3,1,2,1,0,1,2,0,2,0,0,5,0,6,1,3,0,3,2,6,0,0,0,0,10,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,6,0,0,0
10,206,0,20,17,12,9,12,12,8,0,0,13,17,7,2,2,0,46,9,0,16,31,1,2,7,3,12,1,3,0,0,8,4,0,3,0,2,0,0,8,0,3,1,5,0,3,0,1,2,9,3,1,2,1,0,1,2,0,2,0,0,5,0,6,1,3,0,3,2,6,0,0,0,0,10,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,6,0,0,0
11,100,2,0,0,0,0,1,4,0,0,0,0,1,2,8,13,57,0,2,2,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,9,0,0,6,6,0,2,5,1,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
12,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,56,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
