chunk_index,case_id,source_file,chunk_index_within_file,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,1,C001_P1_pdf.txt,0,0.0004,0.9962,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
1,1,C001_P1_pdf.txt,1,0.0002,0.9433,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0547,0.0002
2,1,C001_P1_pdf.txt,2,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
3,1,C001_P1_pdf.txt,3,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
4,1,C001_P1_pdf.txt,4,0.0003,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
5,1,C001_P1_pdf.txt,5,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
6,1,C001_P1_pdf.txt,6,0.0003,0.8667,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.131,0.0003
7,1,C001_P1_pdf.txt,7,0.0007,0.986,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0088,0.0007
8,1,C001_P1_pdf.txt,8,0.0005,0.9958,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
9,1,C001_P1_pdf.txt,9,0.0004,0.9967,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
10,1,C001_P1_pdf.txt,10,0.0003,0.9971,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
11,1,C001_P1_pdf.txt,11,0.0003,0.8671,0.0381,0.0003,0.0003,0.0003,0.0003,0.0003,0.0929,0.0003
12,1,C001_P1_pdf.txt,12,0.0005,0.7983,0.0005,0.0005,0.0531,0.0005,0.0005,0.0005,0.1455,0.0005
13,1,C001_P1_pdf.txt,13,0.3919,0.3654,0.0067,0.0003,0.0003,0.0003,0.0003,0.208,0.0265,0.0003
14,1,C001_P1_pdf.txt,14,0.2942,0.4356,0.0006,0.0006,0.0006,0.0006,0.0006,0.242,0.0248,0.0006
15,1,C001_P1_pdf.txt,15,0.0008,0.6023,0.1742,0.0008,0.0008,0.0008,0.0008,0.2181,0.0008,0.0008
16,1,C001_S1.txt,0,0.0007,0.4876,0.0007,0.0007,0.0007,0.0116,0.0007,0.2406,0.2559,0.0007
17,1,C001_S1.txt,1,0.0004,0.9962,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
18,1,C001_S1.txt,2,0.0002,0.9433,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0547,0.0002
19,1,C001_S1.txt,3,0.0002,0.9979,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
20,1,C001_S1.txt,4,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
21,1,C001_S1.txt,5,0.0003,0.9974,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
22,1,C001_S1.txt,6,0.0003,0.9976,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
23,1,C001_S1.txt,7,0.0003,0.8667,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.131,0.0003
24,2,C002_P1_pdf.txt,0,0.0004,0.6803,0.049,0.1026,0.0004,0.0004,0.0004,0.0004,0.1654,0.0004
25,2,C002_P1_pdf.txt,1,0.0005,0.5528,0.1405,0.1721,0.0005,0.0005,0.0785,0.0005,0.0539,0.0005
26,2,C002_P1_pdf.txt,2,0.0004,0.7241,0.0715,0.0539,0.0004,0.0004,0.0932,0.0004,0.0554,0.0004
27,2,C002_P1_pdf.txt,3,0.0006,0.516,0.0006,0.4791,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
28,2,C002_P1_pdf.txt,4,0.0006,0.6549,0.0006,0.0324,0.129,0.0006,0.1303,0.0006,0.0506,0.0006
